6	1	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
26	2	-1280	-1024	0.663	0.559	-1.000	-1.000	4	-1280	-1024	0.430	0.566	-1.000	-1.000	4
46	3	-1280	-1024	0.664	0.559	-1.000	-1.000	4	-1280	-1024	0.431	0.566	-1.000	-1.000	4
66	4	-1280	-1024	0.664	0.559	-1.000	-1.000	4	-1280	-1024	0.431	0.566	-1.000	-1.000	4
86	5	-1280	-1024	0.663	0.559	-1.000	-1.000	4	-1280	-1024	0.430	0.566	-1.000	-1.000	4
106	6	-1280	-1024	0.663	0.559	-1.000	-1.000	4	-1280	-1024	0.430	0.566	-1.000	-1.000	4
125	7	-1280	-1024	0.663	0.559	-1.000	-1.000	4	-1280	-1024	0.430	0.566	-1.000	-1.000	4
145	8	-1280	-1024	0.665	0.559	-1.000	-1.000	4	-1280	-1024	0.431	0.566	-1.000	-1.000	4
165	9	736	533	0.666	0.559	917.706	3.847	0	730	533	0.433	0.567	909.755	3.790	0
185	10	690	544	0.664	0.559	918.037	3.619	0	690	484	0.431	0.567	909.715	3.612	0
205	11	697	515	0.666	0.559	918.305	3.757	0	690	487	0.433	0.566	909.682	3.570	0
225	12	730	540	0.666	0.559	918.526	3.843	0	674	555	0.433	0.566	909.656	3.620	0
245	13	-1280	-1024	0.665	0.559	-1.000	-1.000	4	-1280	-1024	0.432	0.566	-1.000	-1.000	4
265	14	675	444	0.666	0.559	926.916	3.604	0	693	489	0.432	0.566	914.343	3.548	0
285	15	683	437	0.667	0.559	926.880	3.619	0	692	520	0.434	0.566	914.268	3.642	0
305	16	703	481	0.667	0.559	926.849	3.512	0	701	515	0.433	0.566	914.200	3.563	0
325	17	677	506	0.667	0.559	926.835	3.547	0	701	538	0.434	0.566	914.143	3.579	0
345	18	-1280	-1024	0.666	0.559	-1.000	-1.000	4	-1280	-1024	0.432	0.566	-1.000	-1.000	4
365	19	716	477	0.666	0.559	926.301	3.576	0	671	435	0.432	0.567	919.735	3.547	0
385	20	672	455	0.667	0.559	926.203	3.609	0	701	557	0.433	0.567	919.653	3.505	0
405	21	712	526	0.667	0.559	926.115	3.670	0	671	549	0.433	0.567	919.580	3.631	0
425	22	695	524	0.667	0.559	926.036	3.460	0	651	523	0.433	0.567	919.515	3.457	0
444	23	-1280	-1024	0.665	0.559	-1.000	-1.000	4	-1280	-1024	0.432	0.567	-1.000	-1.000	4
464	24	652	408	0.666	0.559	929.379	3.564	0	689	439	0.432	0.567	919.853	3.379	0
484	25	689	479	0.667	0.560	929.442	3.626	0	685	470	0.433	0.567	919.874	3.398	0
504	26	695	482	0.667	0.560	929.492	3.611	0	681	500	0.433	0.567	919.900	3.504	0
524	27	701	464	0.667	0.560	929.542	3.537	0	701	545	0.433	0.567	919.916	3.603	0
544	28	-1280	-1024	0.666	0.560	-1.000	-1.000	4	-1280	-1024	0.432	0.567	-1.000	-1.000	4
564	29	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
