1	2027	100	1005	60
2	7968	319	78	237
3	8526	100	246	207
4	9105	140	298	198
5	9962	140	909	1002
6	10480	159	507	559
7	11617	140	1012	986
8	12274	100	1046	997
9	13052	180	739	584
10	13650	120	90	592
11	13889	140	83	612
12	14707	160	58	485
13	17837	100	311	175
14	18635	100	79	201
15	18914	160	66	232
16	19233	179	64	230
17	19671	140	240	205
18	19891	100	62	202
19	20868	239	88	566
20	22124	140	90	542
21	22383	140	95	534
22	22981	239	85	590
23	23320	140	95	600
24	23818	100	185	158
25	25054	100	96	599
26	25453	100	74	573
27	25812	139	89	535
28	26011	120	83	517
29	26809	180	720	544
30	27208	180	934	974
31	28324	100	764	282
32	29142	159	700	518
33	30737	100	741	537
34	31135	159	95	512
35	31355	120	90	533
36	31614	179	98	547
37	32252	120	77	291
38	32491	179	185	299
39	34445	100	245	195
40	34844	239	243	237
41	35861	120	86	568
42	36000	179	82	594
43	36239	379	75	601
44	36638	100	37	594
45	37117	120	72	553
46	37814	160	68	209
47	39250	139	129	588
48	39788	100	754	573
49	40187	199	733	566
50	40426	239	727	564
51	40745	120	685	518
52	41044	219	705	543
53	41922	100	756	603
54	42041	359	744	623
55	42520	179	742	619
56	42719	140	747	630
57	42978	279	759	620
58	43796	120	298	188
59	44513	239	768	669
60	44972	120	727	687
61	46786	100	724	535
62	48262	120	82	232
63	49199	140	280	174
64	49358	120	244	173
65	49916	140	458	176
66	50176	159	464	172
67	50654	219	736	600
68	50953	100	712	569
69	51511	160	745	628
70	52149	279	748	616
71	52488	159	753	615
72	52668	120	744	617
73	52847	120	744	632
74	53186	140	740	597
75	53505	120	743	638
76	53685	239	746	613
77	54203	120	746	587
78	54343	140	755	570
79	54941	160	125	594
80	55240	100	104	570
81	55658	100	94	558
82	56595	200	115	574
83	57672	120	762	575
84	59327	100	773	595
85	59447	120	772	601
86	60483	140	756	583
87	60663	100	751	576
88	60782	120	773	610
89	61241	159	727	602
90	61919	100	793	625
91	62377	180	790	669
92	62637	299	774	697
93	63015	100	785	715
94	63713	120	838	698
95	64411	179	1132	722
96	64610	120	1102	815
97	64929	120	1083	890
98	65069	120	1109	887
99	65408	279	1102	875
100	65707	120	1107	887
101	65966	120	783	668
102	66205	100	767	677
103	66405	179	767	696
104	67860	259	788	683
105	68299	120	823	675
106	68697	239	860	679
107	68997	120	855	695
108	69296	219	832	694
109	69894	100	706	298
110	71389	100	117	567
111	72047	159	107	572
112	72246	120	525	495
113	73323	139	797	681
114	74380	120	103	567
