1887	LMouseButton	1	1025	16	
10299	LMouseButton	1	857	1007	
12252	LMouseButton	1	1049	1011	
38096	LMouseButton	1	45	549	
41116	LMouseButton	1	685	527	
58848	LMouseButton	1	699	550	
59476	LMouseButton	1	699	550	
60024	LMouseButton	1	695	569	
60552	LMouseButton	1	695	586	
60991	LMouseButton	1	696	583	
61519	LMouseButton	1	697	597	
63891	LMouseButton	1	813	675	
71666	LMouseButton	1	119	586	
81404	LMouseButton	1	443	201	
82779	LMouseButton	1	606	204	
85311	LMouseButton	1	516	255	
88172	LMouseButton	1	1031	1023	
89706	LMouseButton	1	920	1005	
94830	LMouseButton	1	46	548	
95796	LMouseButton	1	87	616	
97521	LMouseButton	1	676	535	
98667	LMouseButton	1	710	598	
99784	LMouseButton	1	677	598	
101209	LMouseButton	1	46	618	
104438	LMouseButton	1	579	218	
104977	LMouseButton	1	600	219	
105963	LMouseButton	1	580	219	
106801	LMouseButton	1	594	220	
107269	LMouseButton	1	582	220	
108066	LMouseButton	1	597	226	
108674	LMouseButton	1	556	230	
109432	LMouseButton	1	570	220	
110279	LMouseButton	1	624	216	
110927	LMouseButton	1	646	220	
112143	LMouseButton	1	571	219	
112920	LMouseButton	1	624	220	
113997	LMouseButton	1	731	223	
114914	LMouseButton	1	690	244	
116070	LMouseButton	1	531	236	
117385	LMouseButton	1	562	257	
124023	LMouseButton	1	880	1010	
125059	LMouseButton	1	1014	1020	
130292	LMouseButton	1	48	550	
130800	LMouseButton	1	48	550	
131458	LMouseButton	1	46	581	
131956	LMouseButton	1	46	581	
132395	LMouseButton	1	50	594	
133003	LMouseButton	1	49	594	
133720	LMouseButton	1	47	615	
136033	LMouseButton	1	677	594	
137128	LMouseButton	1	678	536	
138753	LMouseButton	1	678	536	
139172	LMouseButton	1	678	536	
139939	LMouseButton	1	696	582	
140407	LMouseButton	1	696	582	
142830	LMouseButton	1	680	791	
146019	LMouseButton	1	697	809	
148441	LMouseButton	1	51	583	
149597	LMouseButton	1	63	596	
150445	LMouseButton	1	63	596	
150973	LMouseButton	1	65	612	
151591	LMouseButton	1	65	612	
151950	LMouseButton	1	68	625	
153156	LMouseButton	1	64	595	
155100	LMouseButton	1	64	597	
155708	LMouseButton	1	68	614	
156296	LMouseButton	1	64	610	
166172	LMouseButton	1	609	253	
166959	LMouseButton	1	559	276	
170767	LMouseButton	1	451	238	
172880	LMouseButton	1	897	1015	
173338	LMouseButton	1	1020	1021	
197778	LMouseButton	1	606	234	
199453	LMouseButton	1	537	257	
201446	LMouseButton	1	909	1019	
201905	LMouseButton	1	979	1017	
212958	LMouseButton	1	605	234	
214015	LMouseButton	1	554	286	
216776	LMouseButton	1	1074	1011	
217394	LMouseButton	1	917	1009	
219567	LMouseButton	1	49	712	
222128	LMouseButton	1	677	762	
223853	LMouseButton	1	676	836	
230382	LMouseButton	1	528	271	
